"","X","date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien"
"13472",13472,"1868-1870","https://gallica.bnf.fr/ark:/12148/cb328370021/date","Rouen","Le Petit moniteur financier ",1,"cb328370021",30,"1870-05","1870-05","1870-05-01","1870-05-31",FALSE
"13473",13473,"1876-1910","https://gallica.bnf.fr/ark:/12148/cb34398193b/date","Toulouse, Paris","Aide mémoire de photographie ",29,"cb34398193b",12782,"1876","1910","1876-01-01","1910-12-31",FALSE
"13474",13474,"1880-1889","https://gallica.bnf.fr/ark:/12148/cb34405355x/date","Toulouse","Bulletin de l'Institut catholique de Toulouse",98,"cb34405355x",3253,"1880-03-07","1889-02-01","1880-03-07","1889-02-01",FALSE
"13475",13475,"1889-1899","https://gallica.bnf.fr/ark:/12148/cb34405358z/date","Toulouse","Bulletin théologique",15,"cb34405358z",2952,"1890-03","1898-03","1890-03-01","1898-03-31",FALSE
"13476",13476,"1852-1905","https://gallica.bnf.fr/ark:/12148/cb344104180/date","Toulouse, Toulouse, Toulouse, Paris, Paris","Académie de législation de Toulouse",80,"cb344104180",36158,"1851","1949","1851-01-01","1949-12-31",FALSE
"13477",13477,"1929-1971","https://gallica.bnf.fr/ark:/12148/cb34413081c/date","Toulouse","Annales de la Société d'horticulture de la Haute Garonne ",73,"cb34413081c",15370,"1929-01","1971-01","1929-01-01","1971-01-31",FALSE
"13478",13478,"1944-1945","https://gallica.bnf.fr/ark:/12148/cb328800100/date","Blois","Le Travailleur ",18,"cb328800100",189,"1944-09-16","1945-03-24","1944-09-16","1945-03-24",FALSE
"13479",13479,"194?-194?","https://gallica.bnf.fr/ark:/12148/cb361396809/date","","Deutsches Volks Echo ",1,"cb361396809",364,"1943","1943","1943-01-01","1943-12-31",FALSE
"13480",13480,"1882-2007","https://gallica.bnf.fr/ark:/12148/cb344279962/date","Toulouse","Bulletin de la Société de géographie de Toulouse",394,"cb344279962",46019,"1882","2007","1882-01-01","2007-12-31",FALSE
"13481",13481,"1877-1881","https://gallica.bnf.fr/ark:/12148/cb34429289b/date","Toulouse, Paris","L'Union littéraire des poètes et des prosateurs ",54,"cb34429289b",943,"1879-01-10","1881-08-10","1879-01-10","1881-08-10",FALSE
"13482",13482,"1902-1945","https://gallica.bnf.fr/ark:/12148/cb344317321/date","Toulouse","La Musique sacrée ",259,"cb344317321",6725,"1902-11","1921-03","1902-11-01","1921-03-31",FALSE
"13483",13483,"1898-1923","https://gallica.bnf.fr/ark:/12148/cb34431978w/date","Toulouse","La Dépêche",76,"cb34431978w",9282,"1898-02-13","1923-07-15","1898-02-13","1923-07-15",FALSE
"13484",13484,"1807","https://gallica.bnf.fr/ark:/12148/cb34440191v/date","Toulouse","Recueil de l'Académie des jeux floraux",131,"cb34440191v",49672,"1807","1942","1807-01-01","1942-12-31",FALSE
"13485",13485,"1949","https://gallica.bnf.fr/ark:/12148/cb34348521j/date","Paris","XVIIe siècle ",158,"cb34348521j",18292,"1949","1999-01","1949-01-01","1999-01-31",FALSE
"13486",13486,"1859-2002","https://gallica.bnf.fr/ark:/12148/cb343486585/date","Paris, New York, New York, Paris","Gazette des beaux arts ",175,"cb343486585",32628,"1859-04","1948-07","1859-04-01","1948-07-31",FALSE
"13487",13487,"1893","https://gallica.bnf.fr/ark:/12148/cb343491074/date","Paris, Paris, Paris","Revue de métaphysique et de morale",331,"cb343491074",21182,"1893","1950","1893-01-01","1950-12-31",FALSE
"13488",13488,"1927-1947","https://gallica.bnf.fr/ark:/12148/cb36134377c/date","Paris","Mouseion ",27,"cb36134377c",5113,"1927","1940","1927-01-01","1940-12-31",FALSE
"13489",13489,"1882-199?","https://gallica.bnf.fr/ark:/12148/cb34406321v/date","Foix","Bulletin de la Société ariégeoise des sciences",19,"cb34406321v",18353,"1882-10","1932","1882-10-01","1932-12-31",FALSE
"13490",13490,"1929-1940","https://gallica.bnf.fr/ark:/12148/cb32700860x/date","Toulouse","L'Archer ",65,"cb32700860x",2676,"1929-02-01","1936-05","1929-02-01","1936-05-31",FALSE
"13491",13491,"1894-1906","https://gallica.bnf.fr/ark:/12148/cb327026360/date","Toulouse","L'Art méridional ",295,"cb327026360",4473,"1894-04-01","1906-07-01","1894-04-01","1906-07-01",FALSE
"13492",13492,"1933-1934","https://gallica.bnf.fr/ark:/12148/cb327067634/date","Paris","Aujourd'hui ",75,"cb327067634",232,"1933-08-02","1934-03-22","1933-08-02","1934-03-22",FALSE
"13493",13493,"1981-2010","https://gallica.bnf.fr/ark:/12148/cb343696862/date","Toulouse","Tableaux économiques de Midi Pyrénées ",15,"cb343696862",9860,"1981","2007","1981-01-01","2007-12-31",FALSE
"13494",13494,"192.-194.","https://gallica.bnf.fr/ark:/12148/cb32689159f/date","","Almanach François",2,"cb32689159f",1094,"1937","1939","1937-01-01","1939-12-31",FALSE
"13495",13495,"183?-2015","https://gallica.bnf.fr/ark:/12148/cb34438951j/date","Toulouse","Rapports et délibérations   Conseil général de la Haute",225,"cb34438951j",40714,"1834-07-12","1945","1834-07-12","1945-12-31",FALSE
"13496",13496,"1696-1790","https://gallica.bnf.fr/ark:/12148/cb344401899/date","Toulouse","Recueil de plusieurs pièces d'éloquence et de poésie présentées à l'Académie des jeux floraux",84,"cb344401899",34332,"1696","1789","1696-01-01","1789-12-31",FALSE
"13497",13497,"19??","https://gallica.bnf.fr/ark:/12148/cb32757171c/date","Buenos Aires","El Diario",6,"cb32757171c",6515,"1920-03-26","1938-01-26","1920-03-26","1938-01-26",FALSE
"13498",13498,"1921","https://gallica.bnf.fr/ark:/12148/cb34410463t/date","Toulouse, Toulouse, Toulouse","Recueil de l'Académie de législation fondée à Toulouse",11,"cb34410463t",7670,"1920","1940","1920-01-01","1940-12-31",FALSE
"13499",13499,"1900-1901","https://gallica.bnf.fr/ark:/12148/cb32834408g/date","Besançon","Le Pays comtois ",1,"cb32834408g",NA,"1900-09","1900-09","1900-09-01","1900-09-31",FALSE
"13500",13500,"1917-1920","https://gallica.bnf.fr/ark:/12148/cb32776549g/date","Paris","La Forge ",2,"cb32776549g",880,"1917-01","1919-05","1917-01-01","1919-05-31",FALSE
"13501",13501,"1842-1927","https://gallica.bnf.fr/ark:/12148/cb421348717/date","Paris","Journal d'éducation populaire ",3,"cb421348717",NA,"1882","1921-04","1882-01-01","1921-04-31",FALSE
"13502",13502,"1883-1913","https://gallica.bnf.fr/ark:/12148/cb34422713s/date","Strasbourg","Bulletin du Club vosgien ",30,"cb34422713s",10881,"1884-02-15","1913-12-01","1884-02-15","1913-12-01",FALSE
"13503",13503,"1834-1837","https://gallica.bnf.fr/ark:/12148/cb34422719v/date","Strasbourg","Revue d'Alsace ",12,"cb34422719v",8034,"1834","1855","1834-01-01","1855-12-31",FALSE
"13504",13504,"1905-1914","https://gallica.bnf.fr/ark:/12148/cb34410420j/date","Toulouse","Recueil de législation de Toulouse",11,"cb34410420j",9861,"1906","1932","1906-01-01","1932-12-31",FALSE
"13505",13505,"1910-1910","https://gallica.bnf.fr/ark:/12148/cb32710483p/date","Berlin","Die Bauwelt",28,"cb32710483p",2450,"1919-01-02","1925-09-17","1919-01-02","1925-09-17",FALSE
"13506",13506,"1892-1945","https://gallica.bnf.fr/ark:/12148/cb32711403f/date","Berlin","Berliner illustrierte Zeitung",94,"cb32711403f",1176,"1915-01-03","1918-03-24","1915-01-03","1918-03-24",FALSE
"13507",13507,"1923-1939","https://gallica.bnf.fr/ark:/12148/cb344230791/date","Guebwiller","Elsassland",16,"cb344230791",5509,"1923-01","1938-01","1923-01-01","1938-01-31",FALSE
"13508",13508,"1853-192.","https://gallica.bnf.fr/ark:/12148/cb32800888g/date","Toulouse, Toulouse, Paris","Journal du droit administratif ",69,"cb32800888g",24835,"1853","1920","1853-01-01","1920-12-31",FALSE
"13509",13509,"1896-1904","https://gallica.bnf.fr/ark:/12148/cb328010724/date","Toulouse","Journal mensuel du Photo club toulousain",75,"cb328010724",2712,"1896-10-15","1904-03-20","1896-10-15","1904-03-20",FALSE
"13510",13510,"1905-1914","https://gallica.bnf.fr/ark:/12148/cb328011356/date","Paris","Le Journal du soir ",2552,"cb328011356",3368,"1905-05-10","1914-07-30","1905-05-10","1914-07-30",TRUE
"13511",13511,"1925-1934","https://gallica.bnf.fr/ark:/12148/cb32705205b/date","Paris","Bulletin mensuel ",101,"cb32705205b",3378,"1925-09-15","1934-12-15","1925-09-15","1934-12-15",FALSE
"13512",13512,"1917-1920","https://gallica.bnf.fr/ark:/12148/cb34410462g/date","Toulouse","Bulletin de l'Académie de législation fondée à Toulouse",9,"cb34410462g",NA,"1917","1919-11","1917-01-01","1919-11-31",FALSE
"13513",13513,"1886-1888","https://gallica.bnf.fr/ark:/12148/cb32702938h/date","Toulouse","L'Artiste toulousain ",40,"cb32702938h",518,"1886-12-19","1888-05-20","1886-12-19","1888-05-20",FALSE
"13514",13514,"1756-1793","https://gallica.bnf.fr/ark:/12148/cb32801259g/date",", ","Journal encyclopédique",648,"cb32801259g",9845,"1756-01","1782-12-15","1756-01-01","1782-12-15",FALSE
"13515",13515,"1884-195.","https://gallica.bnf.fr/ark:/12148/cb328021223/date","Papeete","Journal officiel des Etablissements français de l'Océanie ",2132,"cb328021223",23822,"1884-01-03","1949-03-25","1884-01-03","1949-03-25",FALSE
"13516",13516,"1899-1914","https://gallica.bnf.fr/ark:/12148/cb34349502h/date","Paris","Revue d'histoire moderne et contemporaine",1,"cb34349502h",364,"1906","1906","1906-01-01","1906-12-31",FALSE
"13517",13517,"1815-1841","https://gallica.bnf.fr/ark:/12148/cb32802237d/date","Toulouse","Journal politique et littéraire de Toulouse et de la Haute Garonne ",4354,"cb32802237d",9554,"1815","1841-02-27","1815-01-01","1841-02-27",TRUE
"13518",13518,"1844-1869","https://gallica.bnf.fr/ark:/12148/cb344401790/date","Toulouse, Toulouse","Mémoires de l'Académie royale des sciences",55,"cb344401790",19723,"1844","1897","1844-01-01","1897-12-31",FALSE
"13519",13519,"1895","https://gallica.bnf.fr/ark:/12148/cb34348205g/date","Paris, Paris, Paris, Paris, Paris, Paris","L'Année psychologique ",41,"cb34348205g",18991,"1894","1945","1894-01-01","1945-12-31",FALSE
"13520",13520,"1929-1932","https://gallica.bnf.fr/ark:/12148/cb32892492z/date","Paris","Voyage en France ",3,"cb32892492z",942,"1929-09","1932-03","1929-09-01","1932-03-31",FALSE
"13521",13521,"1904-1904","https://gallica.bnf.fr/ark:/12148/cb32716344z/date","Paris","Les Bruits de Paris ",3,"cb32716344z",61,"1904-03-15","1904-05-15","1904-03-15","1904-05-15",FALSE
"13522",13522,"1923-1937","https://gallica.bnf.fr/ark:/12148/cb344227086/date","Strasbourg","Club vosgien ",131,"cb344227086",5295,"1923-01-01","1937-07-01","1923-01-01","1937-07-01",FALSE
"13523",13523,"1933-1970","https://gallica.bnf.fr/ark:/12148/cb34529658b/date","Saint Denis de La Réunion","La Démocratie ",475,"cb34529658b",2548,"1933-04-04","1940-03-26","1933-04-04","1940-03-26",TRUE
"13524",13524,"1980-1985","https://gallica.bnf.fr/ark:/12148/cb45800226s/date","Pierrelaye","Lettre aux amis d'Afrique ",17,"cb45800226s",NA,"1980-10","1985-04","1980-10-01","1985-04-31",FALSE
"13525",13525,"1880-1880","https://gallica.bnf.fr/ark:/12148/cb32781234m/date","Paris","Gazette gastronomique  ",1,"cb32781234m",0,"1880-07-04","1880-07-04","1880-07-04","1880-07-04",FALSE
"13526",13526,"1873-1917","https://gallica.bnf.fr/ark:/12148/cb34422709j/date","Strassburg","Mittheilungen aus dem Vogesenclub",45,"cb34422709j",16131,"1873-08-01","1917-10-01","1873-08-01","1917-10-01",FALSE
"13527",13527,"1920-1921","https://gallica.bnf.fr/ark:/12148/cb32732805w/date","Bruxelles","Bulletin philologique et historique ",1,"cb32732805w",364,"1921","1921","1921-01-01","1921-12-31",FALSE
"13528",13528,"1904-1906","https://gallica.bnf.fr/ark:/12148/cb326823281/date","Toulouse","L'Action syndicale ",17,"cb326823281",731,"1904-01-15","1906-01-15","1904-01-15","1906-01-15",FALSE
"13529",13529,"1915-191.","https://gallica.bnf.fr/ark:/12148/cb32800507t/date","Par Marseille","Le Journal des tranchées ",1,"cb32800507t",0,"1916-09-17","1916-09-17","1916-09-17","1916-09-17",FALSE
"13530",13530,"1840-1851","https://gallica.bnf.fr/ark:/12148/cb326841117/date","Toulouse","L'Agent dramatique du Midi ",50,"cb326841117",1176,"1848-08-03","1851-10-23","1848-08-03","1851-10-23",FALSE
"13531",13531,"1904-1914","https://gallica.bnf.fr/ark:/12148/cb32730836p/date","Toulouse","Bulletin mensuel du Photo club toulousain",163,"cb32730836p",3407,"1904-12","1914-03","1904-12-01","1914-03-31",FALSE
"13532",13532,"1894-1896","https://gallica.bnf.fr/ark:/12148/cb32727679w/date","Montpellier","Le Bulletin du Palais ",91,"cb32727679w",630,"1894-10-18","1896-07-09","1894-10-18","1896-07-09",TRUE
"13533",13533,"1867-19..","https://gallica.bnf.fr/ark:/12148/cb327211045/date","Albi","Bulletin de l'instruction primaire ",7,"cb327211045",364,"1867","1867","1867-01-01","1867-12-31",FALSE
"13534",13534,"1905-1908","https://gallica.bnf.fr/ark:/12148/cb327429448/date","Toulouse","La Cité ",301,"cb327429448",1107,"1905-10-19","1908-10-30","1905-10-19","1908-10-30",TRUE
"13535",13535,"1912-192.","https://gallica.bnf.fr/ark:/12148/cb327550781/date","Paris","Demain ",59,"cb327550781",3203,"1912-04-25","1921-01","1912-04-25","1921-01-31",FALSE
"13536",13536,"1870-1944","https://gallica.bnf.fr/ark:/12148/cb327558876/date","Toulouse","La Dépêche ",24460,"cb327558876",25339,"1875-04-04","1944-08-19","1875-04-04","1944-08-19",TRUE
"13537",13537,"1866-1894","https://gallica.bnf.fr/ark:/12148/cb32761911g/date","Toulouse","L'Écho des trouvères ",114,"cb32761911g",1734,"1890-01-01","1894-10-01","1890-01-01","1894-10-01",FALSE
"13538",13538,"1907-1934","https://gallica.bnf.fr/ark:/12148/cb32780644s/date","Toulouse","La Gazette de Toulouse ",37,"cb32780644s",10014,"1907-07-21","1934-12-20","1907-07-21","1934-12-20",FALSE
"13539",13539,"1886-1886","https://gallica.bnf.fr/ark:/12148/cb32709028d/date","Toulouse","L'Avenir social ",10,"cb32709028d",71,"1886-05-01","1886-07-11","1886-05-01","1886-07-11",FALSE
"13540",13540,"1887-1914","https://gallica.bnf.fr/ark:/12148/cb32780852z/date","Toulouse","Gazette des hôpitaux de Toulouse ",1381,"cb32780852z",9730,"1887-12-24","1914-08-15","1887-12-24","1914-08-15",FALSE
"13541",13541,"1887-1887","https://gallica.bnf.fr/ark:/12148/cb32748382m/date","Toulouse","Le Corbeau ",22,"cb32748382m",515,"1887-05-26","1888-10-22","1887-05-26","1888-10-22",FALSE
"13542",13542,"18??","https://gallica.bnf.fr/ark:/12148/cb32758490q/date","Roma","Domenica Letteraria",1,"cb32758490q",0,"1882-02-05","1882-02-05","1882-02-05","1882-02-05",FALSE
"13543",13543,"1894-189.","https://gallica.bnf.fr/ark:/12148/cb32785101b/date","Toulouse","Guide Gazette des étudiants de Toulouse et des élèves des lycées et collèges de l'académie ",114,"cb32785101b",1393,"1894-07-08","1898-05-01","1894-07-08","1898-05-01",FALSE
"13544",13544,"1883-1940","https://gallica.bnf.fr/ark:/12148/cb328057214/date","Toulouse, Bordeaux, Paris","La Légitimité ",323,"cb328057214",18637,"1883-01-21","1934-01","1883-01-21","1934-01-31",FALSE
"13545",13545,"1942-1944","https://gallica.bnf.fr/ark:/12148/cb328066364/date","Toulouse","Libérer et fédérer ",13,"cb328066364",760,"1942","1944-01","1942-01-01","1944-01-31",FALSE
"13546",13546,"1829-1831","https://gallica.bnf.fr/ark:/12148/cb328138752/date","Toulouse","Mémorial de Toulouse ",152,"cb328138752",343,"1831-01-04","1831-12-13","1831-01-04","1831-12-13",FALSE
"13547",13547,"1698-1790","https://gallica.bnf.fr/ark:/12148/cb419543093/date","Montpellier, Montpellier, Montpellier, Montpellier, Nismes, Montpellier, Nismes, Narbonne","Recueil des édits",70,"cb419543093",28853,"1699","1777","1699-01-01","1777-12-31",FALSE
"13548",13548,"19..","https://gallica.bnf.fr/ark:/12148/cb328352410/date","Toulouse","Le Périscope ",15,"cb328352410",NA,"1916","1939-04","1916-01-01","1939-04-31",FALSE
"13549",13549,"1886-1914","https://gallica.bnf.fr/ark:/12148/cb32860418f/date","Toulouse","La Revue littéraire ",28,"cb32860418f",NA,"1890-01","1913-06","1890-01-01","1913-06-31",FALSE
"13550",13550,"1858-1870","https://gallica.bnf.fr/ark:/12148/cb32858081t/date","Toulouse, Toulouse","Revue de Toulouse et du Midi de la France",12,"cb32858081t",1856,"1858","1863-01","1858-01-01","1863-01-31",FALSE
"13551",13551,"1879-1906","https://gallica.bnf.fr/ark:/12148/cb32860873p/date","Toulouse, Paris, Berlin","Revue mycologique ",67,"cb32860873p",9891,"1879-01-01","1906-01","1879-01-01","1906-01-31",FALSE
"13552",13552,"1874-188.","https://gallica.bnf.fr/ark:/12148/cb328626639/date","Toulouse","Les Romans illustrés ",849,"cb328626639",364,"1875","1875","1875-01-01","1875-12-31",FALSE
"13553",13553,"1775-1775","https://gallica.bnf.fr/ark:/12148/cb425003442/date","","Journal de lecture",12,"cb425003442",1460,"1775","1778","1775-01-01","1778-12-31",FALSE
"13554",13554,"1865-1866","https://gallica.bnf.fr/ark:/12148/cb328014518/date","Toulouse","Journal illustré de l'Exposition toulousaine ",27,"cb328014518",272,"1865-06-19","1866-03-18","1865-06-19","1866-03-18",FALSE
"13555",13555,"1906","https://gallica.bnf.fr/ark:/12148/cb34475573v/date","Toulouse","L'Auta ",924,"cb34475573v",NA,"1906-07","2015-11","1906-07-01","2015-11-31",FALSE
"13556",13556,"1889-1923","https://gallica.bnf.fr/ark:/12148/cb41130768z/date","Toulouse","Journal des viticulteurs ",403,"cb41130768z",7756,"1889-03-20","1910-06-15","1889-03-20","1910-06-15",FALSE
"13557",13557,"1897-1914","https://gallica.bnf.fr/ark:/12148/cb41949199b/date","Paris, Paris, Paris","Revue de psychiatrie ",66,"cb41949199b",5932,"1898-01","1914-03","1898-01-01","1914-03-31",FALSE
"13558",13558,"19??","https://gallica.bnf.fr/ark:/12148/cb32703397m/date","Milano","L'Assistenza sociale nell' industria",10,"cb32703397m",3559,"1928-09","1938-05","1928-09-01","1938-05-31",FALSE
"13559",13559,"1921-1923","https://gallica.bnf.fr/ark:/12148/cb32789078m/date","Paris","Imperium ",2,"cb32789078m",31,"1923-01-25","1923-02-25","1923-01-25","1923-02-25",FALSE
"13560",13560,"1897-19..","https://gallica.bnf.fr/ark:/12148/cb32720543x/date","Bordeaux","Bulletin de l'Automobile bordelais ",1,"cb32720543x",30,"1897-10","1897-10","1897-10-01","1897-10-31",FALSE
"13561",13561,"1928-19..","https://gallica.bnf.fr/ark:/12148/cb327256364/date","Toulouse","Bulletin des amitiés franco étrangères ",29,"cb327256364",4017,"1928","1938","1928-01-01","1938-12-31",FALSE
"13562",13562,"1884-1884","https://gallica.bnf.fr/ark:/12148/cb32714483n/date","Toulouse","La Bombe ",11,"cb32714483n",70,"1884-02-03","1884-04-13","1884-02-03","1884-04-13",FALSE
"13563",13563,"1934-1939","https://gallica.bnf.fr/ark:/12148/cb32744691f/date","Toulouse","Le Combattant du front ",37,"cb32744691f",NA,"1934-09","1938-02","1934-09-01","1938-02-31",FALSE
"13564",13564,"19??-1945","https://gallica.bnf.fr/ark:/12148/cb32711602n/date","Leiden","De Bevrijding",1,"cb32711602n",364,"1945","1945","1945-01-01","1945-12-31",FALSE
"13565",13565,"1880-1976","https://gallica.bnf.fr/ark:/12148/cb32802914p/date","Paris","La Justice ",12088,"cb32802914p",22058,"1880-01-16","1940-06-08","1880-01-16","1940-06-08",TRUE
"13566",13566,"1870","https://gallica.bnf.fr/ark:/12148/cb32813155h/date","Toulouse, Toulouse","Mémoires de l'Académie des sciences",115,"cb32813155h",63187,"1844","2016","1844-01-01","2016-12-31",FALSE
"13567",13567,"1906-19..","https://gallica.bnf.fr/ark:/12148/cb32680385c/date","Toulouse","A l'oeuvre ",5,"cb32680385c",1490,"1907-07","1911-07-30","1907-07-01","1911-07-30",FALSE
"13568",13568,"1940-1943","https://gallica.bnf.fr/ark:/12148/cb328020711/date","Londres","Journal officiel de la France libre ",39,"cb328020711",1127,"1940-08-15","1943-09-16","1940-08-15","1943-09-16",FALSE
"13569",13569,"1911-1911","https://gallica.bnf.fr/ark:/12148/cb327615132/date","Toulouse, Paris","L'Écho des étudiants ",10,"cb327615132",125,"1911-02-20","1911-06-25","1911-02-20","1911-06-25",FALSE
"13570",13570,"1882-1884","https://gallica.bnf.fr/ark:/12148/cb32844697p/date","Toulouse","La Propagande ",6,"cb32844697p",35,"1882-10-15","1882-11-19","1882-10-15","1882-11-19",FALSE
"13571",13571,"1919-1920","https://gallica.bnf.fr/ark:/12148/cb32878238n/date","Toulouse","Toulouse spectacles ",37,"cb32878238n",273,"1919-06-21","1920-03-20","1919-06-21","1920-03-20",FALSE
"13572",13572,"1852-1869","https://gallica.bnf.fr/ark:/12148/cb43886385d/date","Toulouse, Toulouse","Annuaire de l'Académie impériale des sciences",38,"cb43886385d",6574,"1852","1869","1852-01-01","1869-12-31",FALSE
"13573",13573,"1782-1841","https://gallica.bnf.fr/ark:/12148/cb32786835t/date","Toulouse","Histoire et mémoires de l'Académie royale des sciences",19,"cb32786835t",21182,"1782","1839","1782-01-01","1839-12-31",FALSE
"13574",13574,"1939-194.","https://gallica.bnf.fr/ark:/12148/cb326935161/date","Toulouse","Annales de l'Académie des jeux floraux",2,"cb326935161",730,"1939","1940","1939-01-01","1940-12-31",FALSE
"13575",13575,"1925-1927","https://gallica.bnf.fr/ark:/12148/cb32815665p/date","Toulouse","Il Mezzogiorno ",65,"cb32815665p",532,"1925-10-10","1927-03-26","1925-10-10","1927-03-26",FALSE
"13576",13576,"1895-1898","https://gallica.bnf.fr/ark:/12148/cb328589114/date","Paris, Bordeaux","Revue des universités du Midi ",8,"cb328589114",1460,"1895","1898","1895-01-01","1898-12-31",FALSE
"13577",13577,"1843-1869","https://gallica.bnf.fr/ark:/12148/cb327434773/date","Paris, Paris, Paris, Toulon, Toulouse, Toulon, Paris","La Clinique vétérinaire ",13,"cb327434773",9496,"1843","1868","1843-01-01","1868-12-31",FALSE
"13578",13578,"1814-1848","https://gallica.bnf.fr/ark:/12148/cb32695848z/date","Toulouse, Toulouse","Annuaire de l'Académie royale des sciences",7,"cb32695848z",12053,"1816","1848","1816-01-01","1848-12-31",FALSE
"13579",13579,"1925-1925","https://gallica.bnf.fr/ark:/12148/cb32737305q/date","Toulouse","Le Capitole ",3,"cb32737305q",64,"1925-08-01","1925-10-04","1925-08-01","1925-10-04",FALSE
"13580",13580,"1900-1905","https://gallica.bnf.fr/ark:/12148/cb32844198n/date","Toulouse","Le Progrès du Midi ",13,"cb32844198n",1593,"1900-11-03","1905-03-15","1900-11-03","1905-03-15",FALSE
"13581",13581,"194.-194.","https://gallica.bnf.fr/ark:/12148/cb32853606h/date","Toulouse","Revanche ",5,"cb32853606h",390,"1942-09","1943-09-26","1942-09-01","1943-09-26",FALSE
"13582",13582,"1849-1851","https://gallica.bnf.fr/ark:/12148/cb43886383q/date","Toulouse","Annuaire de l'Académie nationale des sciences",6,"cb43886383q",1094,"1849","1851","1849-01-01","1851-12-31",FALSE
"13583",13583,"1895-189.","https://gallica.bnf.fr/ark:/12148/cb32753544m/date","Bray sur Seine","La Culture des cantons de Bray et Donnemarie ",2,"cb32753544m",275,"1895-05","1896-01","1895-05-01","1896-01-31",FALSE
"13584",13584,"19??","https://gallica.bnf.fr/ark:/12148/cb32787722f/date","S. l.","L'Humanité",2,"cb32787722f",731,"1940-08-28","1942-08-29","1940-08-28","1942-08-29",FALSE
"13585",13585,"19..","https://gallica.bnf.fr/ark:/12148/cb42768212p/date","Villedieu Vaison","Bulletin paroissial ",24,"cb42768212p",548,"1914-08","1916-01","1914-08-01","1916-01-31",FALSE
"13586",13586,"1870-1885","https://gallica.bnf.fr/ark:/12148/cb43886391b/date","Toulouse, Toulouse","Annuaire de l'Académie des sciences",31,"cb43886391b",5843,"1870","1885","1870-01-01","1885-12-31",FALSE
"13587",13587,"19..","https://gallica.bnf.fr/ark:/12148/cb42768217d/date","Toulouse","Bulletin paroissial ",4,"cb42768217d",NA,"1914-03","1914-04","1914-03-01","1914-04-31",FALSE
"13588",13588,"1921-1923","https://gallica.bnf.fr/ark:/12148/cb32730217r/date","Paris","Bulletin mensuel de la Ligue d'hygiène mentale  ",10,"cb32730217r",426,"1921-12","1923-01","1921-12-01","1923-01-31",FALSE
"13589",13589,"1896-1935","https://gallica.bnf.fr/ark:/12148/cb32723897d/date","Paris","Bulletin de la Société d'excursions des amateurs de photographie",192,"cb32723897d",NA,"1897-01","1935-06","1897-01-01","1935-06-31",FALSE
"13590",13590,"1919-1926","https://gallica.bnf.fr/ark:/12148/cb32724994w/date","Paris","Le Bulletin de la vie artistique",170,"cb32724994w",2571,"1919-12-01","1926-12-15","1919-12-01","1926-12-15",FALSE
"13591",13591,"1946-1953","https://gallica.bnf.fr/ark:/12148/cb32726184v/date","Paris","Bulletin des groupes Reconstruction",62,"cb32726184v",2764,"1946-01-20","1953-08-15","1946-01-20","1953-08-15",FALSE
"13592",13592,"1889-1936","https://gallica.bnf.fr/ark:/12148/cb32727955q/date","Angoulême, Angoulême","Bulletin du Syndicat agricole des cantons de Jarnac et de Segonzac ",448,"cb32727955q",17075,"1889-07-01","1936-04-01","1889-07-01","1936-04-01",FALSE
"13593",13593,"1901-1920","https://gallica.bnf.fr/ark:/12148/cb32728917d/date","Asnières, Bordeaux","Bulletin général des amicales d'institutrices et d'instituteurs publics de France et des colonies",111,"cb32728917d",7000,"1901-04-01","1920-05","1901-04-01","1920-05-31",FALSE
"13594",13594,"1901-1912","https://gallica.bnf.fr/ark:/12148/cb32730136r/date","Lille","Bulletin mensuel de la Fédération des coopératives de la région du Nord",89,"cb32730136r",4246,"1901-01-15","1912-08","1901-01-15","1912-08-31",FALSE
"13595",13595,"1897-1900","https://gallica.bnf.fr/ark:/12148/cb32718528r/date","Toulouse","Bulletin de l'Académie des sciences",6,"cb32718528r",1049,"1897","1899-11-16","1897-01-01","1899-11-16",FALSE
"13596",13596,"1891-1894","https://gallica.bnf.fr/ark:/12148/cb327370961/date","Cannes","The Cannes advertiser ",48,"cb327370961",797,"1891-11-13","1894-01-18","1891-11-13","1894-01-18",FALSE
"13597",13597,"1913","https://gallica.bnf.fr/ark:/12148/cb328658898/date","Paris, Toulouse, Suresnes, Paris","La Science et la vie  ",625,"cb328658898",23528,"1913-04","1977-08","1913-04-01","1977-08-31",FALSE
"13598",13598,"1873-1888","https://gallica.bnf.fr/ark:/12148/cb34475656j/date","Toulouse, Paris, Lyon, Toulouse, Paris","Matériaux pour l'histoire primitive et naturelle de l'homme ",15,"cb34475656j",5843,"1873","1888","1873-01-01","1888-12-31",FALSE
"13599",13599,"1795-1797","https://gallica.bnf.fr/ark:/12148/cb32699911v/date","Toulouse, A Toulouse, puis : imprimeur libraire, A Toulouse","L'Anti terroriste",294,"cb32699911v",944,"1795-02-07","1797-09-08","1795-02-07","1797-09-08",TRUE
"13600",13600,"1909-1938","https://gallica.bnf.fr/ark:/12148/cb327217651/date","Bordeaux, Toulouse, Paris, ","Bulletin de l'Union historique et archéologique du Sud Ouest ",13,"cb327217651",6208,"1909","1925","1909-01-01","1925-12-31",FALSE
